userId,text
508708,perfect excellent excellent great awesome wonderful amazing wonderful awesome wonderful wonderful high-quality fantastic excellent amazing
508708,बहुत अच्छा अद्भुत शानदार शानदार अद्भुत सही अच्छा अद्भुत अद्भुत उत्कृष्ट जबरदस्त
508708,low-quality terrible awful unsatisfactory subpar awful low-quality terrible unsatisfactory horrible
508708,असंतोषजनक खराब खराब निम्न गुणवत्ता नाखुश असंतोषजनक खराब
833472,wonderful fantastic wonderful high-quality superb awesome
833472,अच्छा अद्भुत जबरदस्त शानदार अच्छा शानदार बढ़िया सही बढ़िया शानदार शानदार सही उत्कृष्ट
833472,low-quality terrible horrible bad terrible
833472,ग़ैर-मान्य निराशाजनक भयानक बुरा निराशाजनक घिनौना
969529,perfect fantastic wonderful awesome perfect excellent great superb great
969529,अद्भुत उत्कृष्ट बहुत अच्छा उत्कृष्ट उत्तम उत्कृष्ट उत्तम अद्भुत उत्तम अच्छा सही शानदार सही शानदार
969529,low-quality horrible bad unsatisfactory bad low-quality poor awful bad poor low-quality low-quality
969529,निराशाजनक बुरा खराब असंतोषजनक निम्न गुणवत्ता निराशाजनक घिनौना घिनौना भयानक बुरा ग़ैर-मान्य निराशाजनक घिनौना नाखुश
510673,excellent excellent fantastic excellent high-quality amazing amazing great awesome fantastic wonderful high-quality
510673,बढ़िया सही शानदार जबरदस्त उत्कृष्ट
510673,disappointing subpar displeased bad disappointing unsatisfactory horrible low-quality horrible
510673,असंतोषजनक भयानक भयानक ग़ैर-मान्य असंतोषजनक निम्न गुणवत्ता असंतोषजनक भयानक ग़ैर-मान्य निम्न गुणवत्ता ग़ैर-मान्य नाखुश बुरा ग़ैर-मान्य
943732,perfect perfect high-quality amazing excellent fantastic
943732,बढ़िया शानदार शानदार सही शानदार बहुत अच्छा बढ़िया शानदार उत्तम उत्कृष्ट अच्छा उत्कृष्ट अच्छा अद्भुत उत्तम
943732,horrible terrible terrible horrible disappointing unsatisfactory subpar terrible
943732,बुरा बुरा बुरा भयानक निम्न गुणवत्ता निराशाजनक भयानक
260815,perfect high-quality high-quality perfect awesome impressive awesome amazing high-quality high-quality great awesome awesome amazing fantastic
260815,बहुत अच्छा बढ़िया शानदार अच्छा बहुत अच्छा बहुत अच्छा
260815,poor subpar displeased bad disappointing awful horrible bad poor unsatisfactory disappointing subpar horrible
260815,बुरा खराब घिनौना बुरा भयानक ग़ैर-मान्य भयानक खराब ग़ैर-मान्य भयानक नाखुश भयानक
429255,great awesome high-quality superb wonderful
429255,शानदार अच्छा उत्तम जबरदस्त बढ़िया बहुत अच्छा अच्छा बहुत अच्छा शानदार
429255,disappointing horrible subpar bad bad unsatisfactory bad subpar disappointing horrible low-quality low-quality awful bad
429255,घिनौना ग़ैर-मान्य बुरा भयानक खराब भयानक भयानक नाखुश असंतोषजनक
48053,high-quality impressive great perfect excellent
48053,अच्छा सही बहुत अच्छा सही उत्तम अद्भुत बढ़िया सही
48053,unsatisfactory subpar bad bad unsatisfactory
48053,नाखुश ग़ैर-मान्य भयानक बुरा बुरा भयानक खराब घिनौना असंतोषजनक ग़ैर-मान्य भयानक नाखुश
947090,superb impressive great impressive superb amazing great
947090,जबरदस्त अच्छा बहुत अच्छा अच्छा सही जबरदस्त
947090,displeased low-quality disappointing displeased displeased disappointing poor awful disappointing subpar subpar bad unsatisfactory awful horrible
947090,भयानक भयानक ग़ैर-मान्य भयानक घिनौना भयानक असंतोषजनक असंतोषजनक नाखुश
939679,amazing amazing impressive perfect awesome great wonderful excellent high-quality impressive
939679,अद्भुत उत्कृष्ट शानदार जबरदस्त शानदार अद्भुत अच्छा बहुत अच्छा उत्तम अच्छा शानदार उत्कृष्ट
939679,disappointing displeased bad low-quality unsatisfactory horrible poor poor low-quality poor horrible awful
